ID-1,Voc,Jsc,PCE,FF,D_V0,D_J0,AB,contact_angle,PLQY_perov,PLQY_glass,t1_perov,t2_perov,t1_glass,t2_glass
1,0.969192061296921,19.9255,14.65352,0.758792247497908,0.8242821097373962,298.81129455566406,"('A1', 'B1')",72.1,0.6538936120542039,0.9939450367475676,2.604170070614818,5.522340530889254,2.8355635214011694,4.885752111949565
2,0.936152371998422,19.3848333333333,13.6253333333333,0.750824650021253,1.3495174646377563,289.2644348144531,"('A2', 'B1')",106.5,0.5133525609805139,0.90892401684458,2.696652156149841,5.681877639268151,3.2039652121324464,4.70564880455431
3,0.969526821720342,21.2718333333333,15.3908,0.746270792949397,0.8589989542961121,311.6711120605469,"('A3', 'B1')",100.1,0.4166589896427485,0.8884259949766448,2.589266665112243,5.798728951965154,3.5610460826040513,5.347059910536027
4,0.907475988213601,19.1323333333333,12.89492,0.742703671653976,0.4745796620845794,319.1230163574219,"('A4', 'B1')",96.7,0.4506281476706301,0.7944113529009306,2.3739750890807185,5.264502018053306,2.9231615807191558,4.262539022051294
5,0.953545517386469,21.0443333333333,15.3956,0.767220180746633,1.066213607788086,363.4838562011719,"('A5', 'B1')",96.0,0.6377088954292008,0.6512995986153193,2.329227023940467,5.413251904640136,2.7862450486872667,4.232220669556607
6,0.970325460042217,20.7918333333333,15.64794,0.77561635841695,0.9308498501777648,333.4620361328125,"('A6', 'B1')",98.1,0.5613085227335738,0.7703752081097407,2.6232182655855123,5.701914063596173,2.7180005319553784,4.219360635538369
7,0.954858225853392,21.6118333333333,15.7872,0.765023202966358,0.7457088493817562,336.33026123046875,"('A7', 'B1')",107.6,0.5346588440241988,0.7232594594743524,2.372111155642656,5.902250746563152,2.70805020110221,4.26689632742025
8,0.892852531803385,19.712,12.6698333333333,0.719880611676578,1.2241406440734863,281.1792984008789,"('A8', 'B1')",104.8,0.1997960420329058,0.1882834106904658,2.4423470353692043,5.061771909543635,2.6232182655855123,4.276666119016055
9,1.00117905488731,19.8938333333333,14.9758,0.751899508434698,0.7284704446792603,279.0131530761719,"('A9', 'B1')",94.1,0.5524180192600373,1.3235941454827085,1.7334238922150915,5.163299154869948,0.8372475245337022,5.476965517975683
10,0.908114354031057,18.8638333333333,12.9106266666667,0.753662370325359,0.8430207967758179,306.5643310546875,"('A10', 'B1')",101.3,0.5345190942953818,1.108819065748383,1.843719208158766,5.154504731182189,2.175887439948088,5.45907474542615
11,0.9668951871498238,22.045,17.18667999999999,0.8063108228707,0.1196127459406852,377.3582153320313,"('A11', 'B1')",94.5,0.5786420118704697,1.4258057532582622,1.840549633397487,5.286598973593838,2.222459048514761,5.288620503569173
12,0.925053650251033,21.0616666666667,14.8729333333333,0.763373315982562,0.7457088493817562,331.36549377441406,"('A12', 'B1')",93.4,0.2302013721962937,0.2122510031707061,2.0149030205422647,4.4075725416416205,2.005525858729668,4.09933210373314
13,0.9672753981453316,22.7545,17.47297999999999,0.7938702750334682,0.5526999831199646,378.8519134521485,"('A13', 'B1')",93.0,0.5702275796875482,1.5142233010990578,2.0268315914075385,5.805345790065642,2.7363136663750693,5.748373357984076
14,0.9657705232837248,22.93216666666667,17.68941999999999,0.7987199976616989,0.4500168263912201,386.5478515625,"('A14', 'B1')",78.5,0.5710377773288812,1.3300365442302713,2.919930560137709,5.827002554614793,2.589266665112243,5.24812872496475
15,0.8960757258048507,22.340666666666667,15.748086666666651,0.7866597953037301,0.6085071563720703,362.8600158691406,"('A15', 'B1')",92.6,0.6713558580654283,0.7774756376790575,2.667922410011431,5.243491524264258,3.12982600803469,4.437697832044343
16,0.9104335348311724,22.3135,16.120666666666654,0.7935367686949607,0.7457088493817562,399.3815002441406,"('A16', 'B1')",94.9,0.5166092522831635,1.242524525592238,2.604909442182697,5.727140864233436,2.6210388241125804,4.634534794617996
17,0.931378875714626,20.787333333333333,15.04413333333332,0.777037556472657,0.6790651679039001,322.3023681640625,"('A17', 'B1')",81.5,0.346255448399423,0.4355419393914089,2.285438934159075,5.524296892681455,2.6973262377392344,4.394942859940428
18,0.9662229822775712,21.724,16.73783999999999,0.7974110594022649,0.4277629554271698,348.5682983398437,"('A18', 'B1')",93.5,0.5379497434604311,1.608774081838942,2.821973947420524,6.100700045314072,3.20761263258949,5.223755445221132
19,0.9388687980304742,22.5485,16.942799999999988,0.8003180680046688,0.4025917947292328,365.85157775878906,"('A19', 'B1')",96.3,0.5734222059431309,0.8209265466833475,2.1610215286722587,5.0158881403777045,2.6071242825122494,4.302577500800556
20,0.98804155954776,23.188166666666667,17.993219999999987,0.7853572627051948,0.5774725675582886,410.0501403808594,"('A20', 'B1')",94.6,0.5400451738927363,1.344155689292423,1.803358605071407,5.890953365511593,2.761274962339508,4.903421209789107
21,0.9081685784567416,20.187,14.327466666666655,0.7815039041330136,0.7849965691566467,368.7667541503906,"('A21', 'B1')",90.6,0.4663433517600799,0.5903754162799315,2.410542234499138,5.483343595749118,2.848391685655282,4.4728951466782725
22,0.964956412061777,22.1353333333333,16.58104,0.776279297767946,0.7457088493817562,367.37071228027344,"('A22', 'B1')",101.9,0.3728517540269125,0.6896622675640636,1.969905654611529,5.237026898104929,2.775708849576025,4.741796783519916
23,0.9527082483284808,22.37933333333333,16.561066666666655,0.7767499521164244,0.584176778793335,378.0126953125,"('A23', 'B1')",96.1,0.7388135812215938,1.6230615974861191,1.5216989981260935,6.241873009570204,2.2925347571405443,5.009434573519737
24,0.8970427202570175,20.90383333333333,13.923579999999989,0.7425263229644067,0.9550488591194152,304.11988830566406,"('A24', 'B1')",93.4,0.4312370220734827,0.5967553488833869,2.6181254935742233,4.586802528629907,2.3978952727983707,4.653293461169819
25,0.959354348358631,21.872333333333334,16.142266666666654,0.7692904714034388,0.5307152271270752,333.8181915283203,"('A25', 'B1')",93.7,0.6534299095561985,1.3442180857153383,2.1004689088719113,5.83305481036034,2.6511270537025893,4.684443366882599
